transcription,english_gloss,mandarin_gloss
bu33,moon,月亮
no33,monkey,猴子
be=_31,hoof,蹄
be=33,mountain,山
bi_31,crack,裂缝
bi31,to give,给
bi33,minute;point,分
bu_33,full (stomach),饱
buu_33,jar,坛子
buu33,roof,房顶
cji_31,new,新
cji31,seven,七
de_33,to chop,裁
de33,types; kinds,种
dle_33,light;pale,淡
dle33,late,迟
duu_31,well,井
duu31/de=31,a roll of cloth,一卷布
dze_33,thief,贼
dze33,measure word for plants,棵
dzrii_33,to rub,蹭
dzrii33,to tuck a quilt,盖被子
dzro_33,vine; cane,藤
dzro33,alive,活着
dzu_31,waist,腰
dzu31,to east,吃
ha_33,mouse,老鼠
ha33,promise,答应
hla_31,young,年轻
hlo_33,rabbint,兔子
hlo33,pants,裤子
hlu_33,sheep,放羊
hlu33,tongue,舌头
la_31,hand,手
li_33,street,街
li33,heavy,重
lu_31,enough,够
lu31,dragon,龙
me_33,cat,猫
me=_33,blow,吹
me=31,day; sky,天
me=33,hair,毛
me=55/53,warm (water),温(水)
me33,name,名字
na_33,deep; a drop of oil,深/一滴油
na33,black,黑
na55,angle,角
nga_33no_33,fish net,渔网
pie33,duck,鸭子
ni_33,heart,心
ni31,cow,牛
ni33,to sit,坐
nie_33/31,mouth,嘴
nie33/31,ten thousand,万
no33,disease; to be sick,病
nu_53/nuu_53,tender,嫩
nu~_33,bean; monkey,豆/猴
nu~33,disease; to be sick,病
nu53,soft (fabric),软
pie_33,tip; sharp,尖
sa_31,gas,气
sa31,umbrella,伞
sa55,scales,秤
sii_33,sweep,扫
srii_33,"to screw, screw (noun)",拧
srii33,seed,种子
tcjhi_31,sheep,羊
tcjhi31,dog,狗
tcjhi33,animal; beast,兽
thuu_33,the distance between the middle finger to the thumb,中指到大指的距离(一拃)
thuu33,silver,银子
va_31,to carry; pig,扛/猪
vi_33,to flower,开花
vie_33,wolf,狼
vie33,firewood,一背柴
Xe=_31,needle,针
Xe=31,people,人家
zji_33,shadow,影子
zji33,soup,汤
