index,transcription
1,bja31
1,bja_31
1,bja33
1,bja_33
1,bja55
2,na31
2,na_31
2,na33
2,na_33
2,na55
3,do+31
3,do+_31
3,do+33
3,do+_33
3,do+55
4,de31
4,de_31
4,de33
4,de_33
4,de55
5,le31
5,le_31
5,le33
5,le_33
5,le55
6,me31
6,me_31
6,me33
6,me_33
6,me55
7,si31
7,si_31
7,si33
7,si_33
7,si55
8,do31
8,do_31
8,do33
8,do_33
8,do55
9,lo31
9,lo_31
9,lo33
9,lo_33
9,lo55
10,dzii31
10,dzii_31
10,dzii33
10,dzii_33
10,dzii55
11,lu31
11,lu_31
11,lu33
11,lu_33
11,lu55
12,la_31
12,la33
12,la_33
12,la55
13,xa31
13,xa_31
13,xa33
13,xa_33
13,xa55
14,ba31
14,ba_31
14,ba33
14,ba_33
15,x1a31
15,x1a_31
16,ma31
16,ma_31
17,nga31
17,nga_31
18,sa31
18,sa_31
19,za31
19,za_31
20,se31
20,se_31
21,bi31
21,bi_31
22,dzji31
22,dzji_31
23,cjo31
23,cjo_31
24,mo31
24,mo_31
25,bu31
25,bu_31
26,dzu31
26,dzu_31
27,gu31
27,gu_31
28,be33
28,be_33
29,dze33
29,dze_33
30,xe=33
30,xe=_33
31,mi33
31,mi_33
32,lw33
32,lw_33
33,de-33
33,de-_33
34,ncje33
34,ncje_33
