tone,IPA,gloss,minimal_set_id
44,pa44,to send,1
51,pa51,to drop,1
55,pa55,to fill(water),1
22,pa22,net,1
45,pa45,"pig,swine",1
33,pa33,defeated,1
13,pa13,father,1
11,pa11,pull,1
44,la44,general classifier,2
51,la51,to mow,2
55,la55,short,2
22,la22,to move away,2
45,la45,to play string instrument,2
33,la33,"cave,den",2
13,lɔ13,"rabbit,hare",2
11,la11,"candle;smooth,polished",2
44,pje44,three,3
55,phje55,to burn,3
22,pje22,mountain,3
45,pje45te44,to sleep,3
33,tju51pje33,back(gate),3
44,mo44,to pain,4
51,mo51,you,4
22,mo22,to go,4
45,no45,plenty,4
33,ma33,eyes,4
11,me11,thumb,4
44,hmu44,Miao,5
45,hma45,talk,5
44,fai44,cucumber,6
22,fai22,day,6
45,fa45,very,6
33,fai33,NA,6
13,the44fai33,riverside,6
11,fai11,to escape,6
44,fhã44,desert rice field,7
51,fhã51,bright,7
55,fã55,wide,7
22,fhã22va51,dawn,7
45,fã45,emerge,7
33,fha33,not heavy,7
13,fã13,to lose,7
44,fã44va51,heaven,8
22,to=22,far,8
45,ta45,"to kill,break",8
33,ta33,to die,8
44,ta44,kids,9
51,ta51,to fall(rain),9
55,ta55,"to take,use,etc.",9
22,ne22,fish,9
13,tai13,wings,9
11,ta11,bag,9
51,nei51,ear,10
22,sa22,cold,10
45,sa45,firewood knife,10
13,so13,to flee,10
44,se44,five,11
51,shei51,money,11
55,se55,"house,home",11
45,sha45,umbrella,11
33,sen33,to ask,11
13,sho13,to close,11
44,ɬe44,to run,12
55,ɬe55,dog,12
22,ɬai22,to enter,12
45,ɬla45,to cut off,12
44,khe44,high,13
51,kei51,to cry,13
55,ke55,to count,13
22,ke22,mantis,13
45,ka45,green,13
33,ke33,low,13
13,khei13,harrow,13
44,ta22mɔ13ŋe44,cat,14
51,ŋõ51,to look for,14
22,ŋã22,goose,14
45,nge45,NA,14
33,ŋa33,dry,14
11,ŋe11,narrow,14
44,xa44,to cover,15
55,xa55,to write,15
33,xe33,"tall,hight",15
44,ɣe44,stone,16
51,ɣa51,pear,16
55,ɣau55,wild ox,16
22,ɕi45ɣe22,"to quarrel,fight",16
45,ɣa45,to be late,16
