IPA,tone,gloss
əu44,44,water
ɔ44,44,two
pje44,44,three
sai44,44,five
ɬo44,44,four
tɔ44,44,deep
nã44,44,snake
lei44,44,monkey
pã51,51,flower
nau51,51,leaf
tju51,51,door
tɕio51,51,nine
pa55,55,full
sai55,55,fruit
se55,55,house/home
te55,55,tail
te55,55,long
ɬe55,55,dog
ke55,55,road
shõ,55,bone
ɕhã,55,blood
ne22,22,fish
to22,22,fire
ɣã22,22,village
pje45,45,name
ɬhai45,45,moon
ɬhəu45,45,iron
ta33,33,to die
ma33,33,eyes
nõ33,33,rain
nau33,33,bird
tai13,13,wings
tjo13,13,smile
həu13,13,to drink
pu11,11,to see
ȵe11,11,tongue
təu11,11,bean
tɕiu11,11,ten
ji11,11,eight
