tone,tense_lax,minimal_set_id,IPA
33,lax,201,dzɿ33
33,tense,201,dzɿ̱33
21,lax,201,dzɿ21
21,tense,201,dzɿ̱21
55,lax,201,dzɿ55
33,lax,202,tʂʰʅ33
33,tense,202,tʂʰʅ̱33
21,lax,202,tʂʰʅ21
21,tense,202,tʂʰʅ̱21
55,lax,202,tʂʰʅ55
33,lax,203,ti33
33,tense,203,ti̠33
21,lax,203,ti21
21,tense,203,ti̠21
55,lax,203,ti55
33,lax,204,bɛ33
33,tense,204,bɛ̱33
21,lax,204,bɛ21
21,tense,204,bɛ̱21
55,lax,204,bɛ55
33,lax,205,na33
33,tense,205,na̱33
21,lax,205,na21
21,tense,205,na̱21
55,lax,205,na55
33,lax,206,tʂo33
33,tense,206,tʂo̠33
21,lax,206,tʂo21
21,tense,206,tʂo̠21
55,lax,206,tʂo55
33,lax,207,bɚ33
33,tense,207,bɚ̱33
21,lax,207,bɚ21
21,tense,207,bɚ̱21
55,lax,207,bɚ55
33,lax,208,bu33
33,tense,208,bu̠33
21,lax,208,bu21
21,tense,208,bu̠21
55,lax,208,bu55
33,lax,209,ɣɯ33
33,tense,209,ɣɯ̠33
21,lax,209,ɣɯ21
21,tense,209,ɣɯ̠21
55,lax,209,ɣɯ55
33,lax,210,də33
33,tense,210,də̠33
21,lax,210,də21
21,tense,210,də̠21
55,lax,210,də55
33,lax,211,dɛ33
33,tense,211,dɛ̱33
21,lax,212,bi21
21,tense,212,bi̠21
33,lax,213,pu33
33,tense,213,pu̠33
21,lax,214,kʰu21
21,tense,214,kʰu̠21
33,lax,215,to33
33,tense,215,to̠33
21,lax,216,lo21
21,tense,216,lo̠21
33,lax,217,mu33
33,tense,217,mu̠33
21,lax,218,pʰi21
21,tense,218,pʰi̠21
33,lax,219,nu33
33,tense,219,nu̠33
21,lax,220,sɿ21
21,tense,220,sɿ̱21
33,lax,221,fu33
33,tense,221,fu̠33
21,lax,222,tu21
21,tense,222,tu̠21
33,lax,223,dʑu33
33,tense,223,dʑu̠33
21,lax,224,dɛ21
21,tense,224,dɛ̱21
33,lax,225,tʂʰu33
33,tense,225,tʂʰu̠33
21,lax,226,xu21
21,tense,226,xu̠21
21,lax,227,ɣə21
21,tense,227,ɣə̠21
21,lax,228,nji21
21,tense,228,nji̠21
