index,IPA,english_gloss,spanish_gloss,phonation
1,pap,potato,papa,Modal
2,bag,cow,vaca,Modal
3,bed,Peter,Pedro,Modal
4,bub ~ bob ~ bab,drool,baba,Modal
5,bot,vote,voto,Modal
6,dad,dice  or dad,dado or padre,Modal
7,lad,side,lado,Modal
8,pag,pay,pago,Modal
9,tap,lid,tapa,Modal
10,diʒ,language,lengua,Modal
11,ʃop,six,seis,Modal
12,ʃuk,upper arm,,Modal
13,lat,(tin) can,lata,Modal
14,ta̤p,four,cuatro,Breathy
15,b(d)a̤g,leaf,hoja,Breathy
16,b(d)i̤g,ant,hormiga,Breathy
17,be̤l,fish,pescado,Breathy
18,be̤ts,brother (of a man),hermano de un hombre,Breathy
19,da̤ ~ de̤,powder,polvo,Breathy
20,de̤ts,back,espalda,Breathy
21,la̤,name,nombre,Breathy
22,la̤ʒ,"town, village",pueblo,Breathy
23,la̤d,clothings,ropa,Breathy
24,ʃi̤g,jícara,jícara,Breathy
25,ɾṳ ~ ɾo̤,cough,tos,Breathy
26,lo̤,face,"cara""",Breathy
27,ʃṳn,eight,ocho,Breathy
28,be̤ ~ bi̤,"wind, air",viento,Breathy
29,kṳd,thigh,muslo,Breathy
30,ge̤t,tortilla,tortilla,Breathy
31,da̰(ʔa̰),a type of straw mat,petate,Creaky
32,la̰(ʔa̰),huaje bean,huaje,Creaky
33,la̰ts,field,campo,Creaky
34,dʒâ̰p,girl,chica,Creaky
35,ba̰(ʔa̰),tomb,tumba,Creaky
36,ba̰d,scabies,sarna,Creaky
37,ga̰ʔa̰,nine,nueve,Creaky
38,da̰ts,empty,vacio,Creaky
39,bḛʔ,mushroom,hongo,Creaky
40,bḛlː,meat,carne,Creaky
41,ʒo̰b,corn,maize,Creaky
42,gṵn,bull,toro,Creaky
43,guʒa̰d ~ guʃa̰d,grasshopper,chapulín,Creaky
44,ba̰,eyeball,globo del ojos,Creaky
45,bḛld,snake,serpentee,Creaky
46,guna̰,woman,mujer,Creaky
47,sa̰,cloud,nieve,Creaky
48,bo̰,charcoal,carbon,Creaky
